All Layer Optical Constants
Wavelength (nm)	e1, Ordinary, Biaxial	e1, Extra-ordinary, Biaxial	e2, Ordinary, Biaxial	e2, Extra-ordinary, Biaxial
210.000000	2.069381	-2.108856	5.862803	7.191521	
211.000000	2.115506	-2.746870	5.900596	5.145761	
212.000000	2.162763	-2.971875	5.936599	5.204163	
213.000000	2.211051	-3.203063	5.970799	5.267060	
214.000000	2.260268	-3.441247	6.003186	5.334692	
215.000000	2.310318	-3.686682	6.033753	5.407283	
216.000000	2.361105	-3.939546	6.062500	5.485036	
217.000000	2.412533	-4.199989	6.089427	5.568133	
218.000000	2.464513	-4.468184	6.114542	5.656732	
219.000000	2.516953	-4.744351	6.137855	5.750958	
220.000000	2.569769	-5.028731	6.159377	5.850911	
221.000000	2.622875	-5.321620	6.179126	5.956656	
222.000000	2.676190	-5.623392	6.197121	6.068224	
223.000000	2.729636	-5.934508	6.213385	6.185610	
224.000000	2.783138	-6.255532	6.227943	6.308770	
225.000000	2.836621	-6.587139	6.240825	6.437624	
226.000000	2.890018	-6.930155	6.252059	6.572051	
227.000000	2.943261	-7.285584	6.261678	6.711894	
228.000000	2.996286	-7.654643	6.269718	6.856954	
229.000000	3.049034	-8.038792	6.276215	7.006997	
230.000000	3.101447	-8.439786	6.281207	7.161749	
231.000000	3.153471	-8.859730	6.284733	7.320903	
232.000000	3.205054	-9.301161	6.286836	7.484117	
233.000000	3.256150	-9.767120	6.287558	7.651016	
234.000000	3.306712	-10.261271	6.286940	7.821198	
235.000000	3.356700	-10.788040	6.285027	7.994231	
236.000000	3.406073	-11.352802	6.281865	8.169662	
237.000000	3.454797	-11.962090	6.277496	8.347015	
238.000000	3.502836	-12.623910	6.271968	8.525798	
239.000000	3.550162	-13.348168	6.265326	8.705503	
240.000000	3.596746	-14.147237	6.257615	8.885610	
241.000000	3.642563	-15.036716	6.248881	9.065595	
242.000000	3.687591	-16.036539	6.239169	9.244926	
243.000000	3.731808	-17.172588	6.228524	9.423075	
244.000000	3.775198	-18.479126	6.216991	9.599512	
245.000000	3.817746	-20.002537	6.204616	9.773716	
246.000000	3.859436	-21.807238	6.191439	9.945174	
247.000000	3.900259	-23.985834	6.177506	10.113387	
248.000000	3.940205	-26.677301	6.162859	10.277872	
249.000000	3.979266	-30.102787	6.147540	10.438283	
250.000000	4.017438	-34.647015	6.131588	10.597281	
251.000000	4.054717	-41.076767	6.115044	10.804157	
252.000000	4.091099	-51.095856	6.097947	11.545956	
253.000000	4.126585	-67.877426	6.080334	15.688306	
