All Layer Optical Constants
Wavelength (nm)	e1, Ordinary, Biaxial	e1, Extra-ordinary, Biaxial	e2, Ordinary, Biaxial	e2, Extra-ordinary, Biaxial
210.000000	0.069682	1.436929	3.967978	1.104362	
211.000000	0.070974	1.420263	3.950231	1.084027	
212.000000	0.063501	1.402594	3.939458	1.067405	
213.000000	0.049038	1.384211	3.936517	1.054339	
214.000000	0.029344	1.365386	3.941920	1.044666	
215.000000	0.006102	1.346371	3.955865	1.038218	
216.000000	-0.019122	1.327401	3.978285	1.034820	
217.000000	-0.044910	1.308694	4.008888	1.034291	
218.000000	-0.070013	1.290447	4.047208	1.036446	
219.000000	-0.093358	1.272841	4.092648	1.041093	
220.000000	-0.114050	1.256039	4.144516	1.048039	
221.000000	-0.131364	1.240184	4.202068	1.057086	
222.000000	-0.144739	1.225402	4.264533	1.068032	
223.000000	-0.153759	1.211799	4.331137	1.080676	
224.000000	-0.158139	1.199466	4.401128	1.094815	
225.000000	-0.157708	1.188473	4.473786	1.110248	
226.000000	-0.152392	1.178873	4.548437	1.126774	
227.000000	-0.142198	1.170702	4.624457	1.144197	
228.000000	-0.127196	1.163979	4.701278	1.162322	
229.000000	-0.107511	1.158706	4.778387	1.180961	
230.000000	-0.083305	1.154871	4.855328	1.199932	
231.000000	-0.054772	1.152445	4.931698	1.219060	
232.000000	-0.022123	1.151386	5.007144	1.238179	
233.000000	0.014415	1.151638	5.081361	1.257130	
234.000000	0.054608	1.153134	5.154085	1.275765	
235.000000	0.098220	1.155794	5.225092	1.293946	
236.000000	0.145016	1.159529	5.294194	1.311549	
237.000000	0.194764	1.164242	5.361230	1.328458	
238.000000	0.247236	1.169826	5.426070	1.344571	
239.000000	0.302213	1.176169	5.488605	1.359799	
240.000000	0.359484	1.183154	5.548750	1.374065	
241.000000	0.418845	1.190658	5.606436	1.387306	
242.000000	0.480100	1.198555	5.661609	1.399470	
243.000000	0.543065	1.206721	5.714232	1.410520	
244.000000	0.607559	1.215025	5.764279	1.420431	
245.000000	0.673414	1.223343	5.811733	1.429190	
246.000000	0.740468	1.231547	5.856587	1.436796	
247.000000	0.808566	1.239514	5.898845	1.443261	
248.000000	0.877564	1.247125	5.938513	1.448606	
