radius [um],guidedIn/totalIn [%],guidedOut/totalOut[%],guidedOut/guidedIn [%]
5,99.81,86.65,1.36
5.5,99.81,90.83,2.08
6,99.81,89.03,1.63
6.5,99.81,88.79,1.45
7,99.81,89.01,1.37
7.5,99.81,86.9,1.1
8,99.81,83.41,0.83
8.5,99.81,81.26,0.66
9,99.81,83.25,0.82
9.5,99.81,84.63,0.94
10,99.81,83.79,0.9
10.5,99.81,87.53,1.22
11,99.81,89.6,1.52
11.5,99.81,86.26,1.17
12,99.81,86.71,1.22
12.5,99.81,87.65,1.25
13,99.81,87.78,1.34
13.5,99.81,88.83,1.48
14,99.81,90.87,1.82
14.5,99.81,91.63,1.97
15,99.81,89.96,1.65
15.5,99.81,91.24,1.73
16,99.81,92.03,2.05
16.5,99.81,89.78,1.5
17,99.81,88.86,1.31
17.5,99.81,88.28,1.39
18,99.81,90.83,1.71
18.5,99.81,90.65,1.75
19,99.81,91.44,2.08
19.5,99.81,93.46,2.73
20,99.81,90.98,1.91
20.5,99.81,93.67,2.58
21,99.81,93.4,2.61
21.5,99.81,94.13,3.24
22,99.81,94.21,3.59
22.5,99.81,95.29,4.02
23,99.81,94.7,3.67
23.5,99.81,94.89,3.83
24,99.81,94.81,3.85
24.5,99.81,95.07,3.83
25,99.81,94.47,3.58
25.5,99.81,94.93,3.52
26,99.81,94.92,3.82
26.5,99.81,95.16,3.9
27,99.81,94.85,3.84
27.5,99.81,95.39,4.09
28,99.81,95.28,4.37
28.5,99.81,95.82,4.79
29,99.81,95.85,5.14
29.5,99.81,96.2,5.77
30,99.81,96.17,5.9
30.5,99.81,96.5,6.59
31,99.81,96.18,6.15
31.5,99.81,96.57,6.8
32,99.81,96.65,7.24
32.5,99.81,96.61,7.64
33,99.81,96.92,8.52
33.5,99.81,96.79,8.57
34,99.81,97.03,9.52
34.5,99.81,97.07,10.08
35,99.81,97.33,11.06
35.5,99.81,97.36,11.47
36,99.81,97.2,11.26
36.5,99.81,97.46,12.13
37,99.81,97.32,11.86
37.5,99.81,97.46,12.41
38,99.81,97.41,12.62
38.5,99.81,97.42,12.78
39,99.81,97.52,13.22
39.5,99.81,97.49,12.95
40,99.81,97.59,13.27
40.5,99.81,97.54,13.46
41,99.81,97.52,13.51
41.5,99.81,97.56,13.69
42,99.81,97.43,13.45
42.5,99.81,97.57,13.67
43,99.81,97.55,13.62
43.5,99.81,97.45,13.51
44,99.81,97.56,13.37
44.5,99.81,97.51,13.33
45,99.81,97.51,13.25
45.5,99.81,97.48,13.07
46,99.81,97.44,12.91
46.5,99.81,97.49,12.81
47,99.81,97.48,12.63
47.5,99.81,97.4,12.37
48,99.81,97.45,11.97
48.5,99.81,97.34,12.11
49,99.81,97.31,11.9
49.5,99.81,97.41,11.48
50,99.81,97.33,11.51
